id,type_id,name,color,created_at,updated_at
15,2,頼まれごと,#C99CD9,2026-02-23T19:36:22+01:00,2026-03-01T11:23:25+09:00,
12,2,創作活動,#A88797,2026-02-23T19:14:34+01:00,2026-03-23T01:49:37+09:00,
13,2,副業,#C6F855,2026-02-23T19:16:45+01:00,2026-03-01T11:23:25+09:00,
9,2,どうでもいい,#648693,2026-02-23T10:04:01+01:00,2026-03-01T11:23:25+09:00,
2,1,頭を使う,#622CB1,2026-02-23T08:12:28+01:00,2026-03-01T11:23:25+09:00,
3,1,絵を描く,#429CD4,2026-02-23T08:37:34+01:00,2026-03-01T11:23:25+09:00,
4,1,文章を書く,#AE1BE4,2026-02-23T08:37:54+01:00,2026-03-01T11:23:25+09:00,
8,1,DIY,#79ACDF,2026-02-23T10:03:34+01:00,2026-03-01T11:23:25+09:00,
10,1,WEB制作,#C7E486,2026-02-23T10:06:19+01:00,2026-03-01T11:23:25+09:00,
11,1,リサーチ,#869809,2026-02-23T10:06:58+01:00,2026-03-23T01:41:00+09:00,
14,1,事務作業,#CF6479,2026-02-23T19:34:36+01:00,2026-03-01T11:23:25+09:00,
17,1,プロダクト作成,#CFD302,2026-02-23T20:16:34+01:00,2026-03-01T11:23:25+09:00,
18,1,プログラム,#21DEF8,2026-02-23T23:35:26+01:00,2026-03-01T11:23:25+09:00,
19,2,生活,#08F962,2026-02-23T23:37:21+01:00,2026-03-01T11:23:25+09:00,
21,1,納品作業,#C01E61,2026-03-23T01:27:20+09:00,2026-03-23T01:27:20+09:00,
22,4,どうでもいい,#9FDAF0,2026-03-23T01:51:46+09:00,2026-03-23T01:51:46+09:00
23,4,最優先,#79E231,2026-03-23T01:53:24+09:00,2026-03-23T01:53:24+09:00
24,1,絵本,#B8A3AD,2026-03-23T02:01:13+09:00,2026-03-23T02:01:13+09:00
